covariate,HR,HR_lower95,HR_upper95,p
age,1.022,1.017,1.026,0.0
male,1.07,0.947,1.208,0.2808
stage_II,1.003,0.839,1.199,0.971
stage_III,1.478,1.272,1.717,0.0
stage_IV,5.088,4.357,5.941,0.0
