covariate,HR,HR_lower95,HR_upper95,p
age,1.019,1.015,1.022,0.0
male,1.872,1.03,3.402,0.0398
stage_II,1.058,0.961,1.164,0.25
stage_III,2.18,1.942,2.448,0.0
stage_IV,7.902,6.979,8.947,0.0
