context_len,n,R_at_1,R_at_3,R_at_5,mean_prob1
1,810,0.23209876543209876,0.49753086419753084,0.6641975308641975,0.3618333333333333
2,78,0.20512820512820512,0.46153846153846156,0.5897435897435898,0.41424230769230763
3,12,0.25,0.3333333333333333,0.75,0.36695833333333333
4,1,0.0,0.0,0.0,0.293
