diag_yr,n_total,n_multi,pct_multi
2003,1053,112,10.63627730294397
2004,1209,135,11.166253101736972
2005,1197,121,10.10860484544695
2006,1302,120,9.216589861751153
2007,1344,129,9.598214285714286
2008,1834,191,10.414394765539804
2009,2177,207,9.508497932935231
2010,2217,208,9.382047812359044
2011,2386,192,8.046940486169321
2012,2472,177,7.160194174757281
2013,2652,182,6.862745098039216
2014,2596,192,7.395993836671804
2015,2423,145,5.984316962443252
