covariate,HR,HR_lower95,HR_upper95,p
age,1.058,1.051,1.065,0.0
stage_II,0.765,0.655,0.894,0.0007
stage_III,0.721,0.593,0.876,0.001
stage_IV,2.052,1.754,2.401,0.0
