covariate,HR,HR_lower95,HR_upper95,p
age,1.025,1.018,1.031,0.0
stage_II,1.36,1.081,1.709,0.0085
stage_III,1.875,1.489,2.361,0.0
stage_IV,6.038,4.771,7.642,0.0
