covariate,HR,HR_lower95,HR_upper95,p
age,1.02,1.013,1.026,0.0
male,0.972,0.696,1.357,0.8664
stage_II,1.004,0.825,1.221,0.9715
stage_III,1.317,1.048,1.655,0.0182
stage_IV,2.21,1.898,2.573,0.0
