epoch,train_loss,val_loss,recon,kl
65,3.5220722969464417,2.80220787939818,1.2621887572880448,2.2598835417137293
66,3.523150497012668,2.7950992947039395,1.2490689053389303,2.2740815882481833
67,3.5128492989302593,2.807370776715486,1.2448423376942046,2.268006968772274
68,3.516504103196535,2.8198938732561856,1.2432951575494817,2.273208947930756
69,3.505803485483045,2.7852937708730283,1.2362448778645745,2.269558613327728
70,3.5169091306883713,2.8324681157651157,1.239883040559703,2.2770260832775597
71,3.515500119819495,2.831504039142443,1.233854715394791,2.2816454085353692
72,3.519667455519753,2.8071173688639766,1.2270400718254149,2.2926273912305577
73,3.5156771789565395,2.830909552781478,1.2257473475631626,2.2899298339054504
74,3.513110206501694,2.830396823261095,1.2121284631477005,2.3009817481497694
75,3.5145185203844562,2.8381604733674424,1.2158960955809817,2.298622424575104
76,3.502658571776759,2.8060523116070293,1.2040317458211234,2.298626823900303
77,3.5058344725904793,2.8260200386462,1.207695556783128,2.2981389126101672
78,3.4967972720719844,2.8019305312115215,1.2012301212983114,2.29556715625456
