epoch,train_loss,val_loss,recon,kl
1,5.792445048518564,4.966793215793112,5.644028142037519,0.14841688638445974
2,3.942170235389037,4.103460301523623,3.8968879582781444,0.04528228478984358
3,3.922922222093604,3.9588811449382617,3.847629830298296,0.07529238521538932
4,3.912169384316923,3.7508860774662183,3.747808742340497,0.16436063603879847
5,3.8954348518473894,3.5750362251115884,3.5969564540176098,0.2984783926914478
6,3.887189724436208,3.4380953311920166,3.4984808817677115,0.3887088462082362
7,3.864103928379629,3.35682751821435,3.3577631762201303,0.5063407502183512
8,3.826564755019557,3.275805628818014,3.163241289584573,0.663323464521503
9,3.790437574130822,3.0903569408085034,2.96407532235215,0.8263622561177074
10,3.7588100168440075,3.0430926291838936,2.739299658157816,1.0195103609698943
11,3.7277029848646843,3.0506641190984976,2.582173607815271,1.1455293779628943
12,3.713340186524665,3.005921612615171,2.4915347866628363,1.2218053994050884
13,3.7059121826142642,2.9592424009157265,2.44104492527315,1.2648672527737088
14,3.6941077115435252,2.9913846254348755,2.3957622338985574,1.298345478558449
15,3.6909816210297333,2.9959160141322925,2.3441956481714357,1.3467859769689625
16,3.6780482900553735,3.024239939192067,2.307371305323195,1.3706769879293625
17,3.6800743711405786,3.023638429849044,2.28059300152278,1.3994813641369115
18,3.6724406384873665,2.967229355936465,2.2358275167786754,1.4366131285597994
19,3.66824346027155,2.959788980691329,2.203220560632903,1.465022904206053
20,3.654964205862462,2.917193018871805,2.148699828491357,1.5062643837654728
21,3.6465918698073345,2.8877806922663813,2.1035727490867235,1.5430191321391256
22,3.6500745751391883,2.957121263379636,2.0631793920107726,1.5868951808447125
23,3.6411007519426017,2.8721369815909346,2.0122477373400867,1.628853017799699
24,3.6388737972668763,2.9103766316952915,1.9776585997292822,1.6612151970808533
25,3.62525584231848,2.906135828598686,1.9349964656135588,1.6902593803588457
26,3.6267371689222783,2.9130617017331333,1.9087362335102769,1.7180009376957042
27,3.619363539977092,2.870709989381873,1.884362105208795,1.7350014251767447
28,3.62121284693137,2.849479545717654,1.8556600749721015,1.765552776526674
29,3.6223220825195312,2.8930147160654482,1.840339496217925,1.7819825890420498
30,3.6135043997417466,2.881602644920349,1.8157568265651833,1.7977475736333035
31,3.6070752984262517,2.8440933175708936,1.8008954419943564,1.8061798582588575
32,3.602299661015185,2.8593163386635156,1.783686750236599,1.8186129217403602
33,3.6044120030384867,2.8417580127716064,1.7666169861724093,1.8377950150391151
34,3.60373848242778,2.900629888410154,1.7539428819641756,1.8497956022905664
35,3.5923687260726402,2.829821762831315,1.7368607616972649,1.8555079598079696
36,3.592001713098694,2.8725398312444272,1.719557495866242,1.8724442186026737
37,3.600432918446274,2.8437539805536685,1.7138005654930613,1.8866323534099536
38,3.586915884894886,2.8092689773310786,1.693245161995577,1.8936707215290873
39,3.5857802670577477,2.8284535511680273,1.6730266722682792,1.9127535952462091
40,3.581839515788345,2.853496992069742,1.6605788396236083,1.9212606834725858
41,3.585818690815191,2.8496557940607485,1.6382427069419188,1.9475759857002346
42,3.5729366207488193,2.7713716237441353,1.6106791199395483,1.9622575008092713
43,3.5723375269279627,2.8698774524357007,1.5975193552587224,1.9748181817175328
44,3.5745395682323937,2.8403853644495425,1.5667654983842054,2.0077740643673017
45,3.5657448923907515,2.863213513208472,1.5458604442205466,2.0198844515957597
46,3.5693625362440087,2.8359439269356104,1.5382616602141281,2.0311008737461775
47,3.5592066766658506,2.7848530230314834,1.510027564348389,2.0491791136876834
48,3.5711315281089697,2.85906982421875,1.5063409992561487,2.0647905229151933
49,3.563440724807681,2.8442283868789673,1.4780825906329684,2.085358131434269
50,3.555057503711218,2.8196185360784116,1.4481452082308772,2.106912287715751
51,3.556288567539376,2.855810144673223,1.443799771111587,2.112488798254751
52,3.5519384122899664,2.766575035841569,1.4156517722140785,2.136286647840478
53,3.5439511085378714,2.757676819096441,1.4028756700713059,2.1410754393800464
54,3.5510530079004865,2.830106522725976,1.3833858240609882,2.1676671733344652
55,3.5374783866706934,2.804314100224039,1.3638095828308456,2.17366879744548
56,3.5431363217218625,2.8373943515445874,1.350258825839251,2.1928774935989086
57,3.5400545578806795,2.77366216286369,1.3447763163924673,2.19527824811095
58,3.5446215479766727,2.861387760742851,1.338939230104059,2.2056823187860948
59,3.536234310303611,2.817885310753532,1.3140391976897288,2.2221951110152904
60,3.5342807568809538,2.7895574725192525,1.2967816600397628,2.237499100038375
61,3.527603334850735,2.801262886627861,1.2916533777996955,2.235949955680818
62,3.5334227578393342,2.8054161175437597,1.2886960702837655,2.2447266889257906
63,3.530853133548722,2.8407098521356997,1.2752001774265391,2.25565296205981
64,3.5202110051195286,2.7650252632472827,1.2709271731961276,2.2492838316950303
