covariate,HR,HR_lower95,HR_upper95,p
age,1.023,1.021,1.025,0.0
male,1.578,1.496,1.665,0.0
stage_II,1.385,1.193,1.608,0.0
stage_III,2.533,2.325,2.759,0.0
stage_IV,4.449,4.15,4.769,0.0
