covariate,HR,HR_lower95,HR_upper95,p
age,1.023,1.02,1.026,0.0
male,1.135,1.051,1.225,0.0013
stage_II,0.759,0.679,0.849,0.0
stage_III,1.063,0.954,1.184,0.27
stage_IV,4.69,4.241,5.187,0.0
