covariate,HR,HR_lower95,HR_upper95,p
age,1.023,1.019,1.027,0.0
male,1.089,0.971,1.221,0.1447
stage_II,1.045,0.864,1.264,0.6485
stage_III,1.583,1.356,1.848,0.0
stage_IV,5.627,4.883,6.484,0.0
