diag_yr,total_pts,c22_pts,c22_rate_pct,rate_Age<50,rate_Age 50-64,rate_Age≥65
2003,1996,504,25.250501002004004,14.745308310991955,33.591331269349844,29.304635761589402
2004,2426,537,22.13520197856554,14.93212669683258,26.583850931677016,25.91587516960651
2005,2535,631,24.891518737672584,16.11253196930946,28.28282828282828,29.350348027842227
2006,2685,608,22.644320297951584,13.250283125707815,23.814655172413794,30.892448512585812
2007,2872,685,23.850974930362117,14.285714285714285,25.69245463228271,31.001076426264802
2008,3664,686,18.722707423580786,13.65015166835187,20.458015267175572,20.732600732600734
2009,4442,732,16.479063484916704,9.105431309904153,17.77777777777778,20.843373493975903
2010,4431,704,15.888061385691717,9.845402766476811,17.979555021046302,18.453541260558804
2011,4657,737,15.825638823276789,8.662613981762918,17.707736389684815,19.674185463659146
2012,4804,697,14.508742714404663,7.3899371069182385,15.53763440860215,18.779904306220097
2013,5171,777,15.026107135950491,8.602941176470589,16.45,18.277194919933738
2014,5157,700,13.57378320729106,7.918552036199094,14.906518443658415,16.207455429497568
2015,5589,754,13.4907854714618,7.410021171489062,14.494741655235483,16.72544080604534
2016,5522,743,13.45526982977182,7.498144023756496,12.912087912087914,18.08136614766449
2017,5982,759,12.688064192577734,6.442769019876628,12.93916023993145,16.582914572864322
2018,5779,700,12.112822287593008,6.223175965665236,12.172367836517104,15.91549295774648
2019,5736,677,11.802649930264993,6.067251461988303,12.050932241928148,15.168280313508529
2020,5171,573,11.081028814542641,4.978165938864628,10.402855685874554,15.108958837772397
