dim,axis_name,max_loading,sex_mw_p,sex_rbi,age_r,age_p,era_r,era_p,dead_r,dead_p
z4,UADT/field-cancerization,0.6472972092384158,0.0,0.6214234,-0.2318047873430926,0.0,0.0033532931860101125,0.34764797146215304,-0.298113648921736,0.0
z0,Hormonal/gynecologic,0.6366026954412773,0.0,-0.16301441,0.1129029884538737,7.662276546799372e-221,0.10771738481961153,4.281011454160047e-201,-0.1430243909896707,0.0
z5,Hormonal/gynecologic,0.5926193368596674,0.0,-0.40905774,0.33261515402898967,0.0,0.06997561719097659,1.0000648393688154e-85,0.17317720657760527,0.0
