first_site,second_site,n_pairs,gap_p25,gap_median,gap_p75
C53,C56,2,522.0,1044.0,1566.0
C53,C67,9,17.0,30.0,2478.0
C53,C77,5,2191.0,2243.0,3045.0
C54,C11,1,1565.0,1565.0,1565.0
C54,C16,1,902.0,902.0,902.0
C54,C18,5,409.0,731.0,1298.0
C54,C19,2,355.75,688.5,1021.25
C54,C20,1,843.0,843.0,843.0
C54,C21,1,790.0,790.0,790.0
C54,C22,2,1222.25,1471.5,1720.75
C54,C34,7,451.5,792.0,1856.5
C54,C42,3,694.0,754.0,1187.5
C54,C50,12,127.0,273.5,630.75
C54,C53,1,14.0,14.0,14.0
C54,C56,15,0.0,16.0,28.0
C54,C67,1,1208.0,1208.0,1208.0
C56,C16,1,3542.0,3542.0,3542.0
C56,C19,1,5.0,5.0,5.0
C56,C20,2,62.25,85.5,108.75
C56,C22,4,154.25,233.0,402.25
C56,C34,2,1622.0,1718.0,1814.0
C56,C42,2,763.75,1122.5,1481.25
C56,C50,6,117.75,457.0,633.5
C56,C53,5,6.0,25.0,29.0
C56,C54,20,14.75,22.0,37.5
C61,C05,1,617.0,617.0,617.0
C61,C06,1,875.0,875.0,875.0
C61,C09,2,380.0,405.0,430.0
C61,C12,1,1632.0,1632.0,1632.0
C61,C13,1,1112.0,1112.0,1112.0
C61,C15,5,555.0,900.0,1631.0
C61,C16,8,665.25,872.0,1491.5
C61,C17,1,2108.0,2108.0,2108.0
C61,C18,22,140.75,667.5,1564.0
C61,C19,2,1206.5,1381.0,1555.5
C61,C20,10,45.5,933.0,1502.5
C61,C22,35,69.0,557.0,1625.0
C61,C34,31,166.0,873.0,1651.5
C61,C42,5,537.0,1162.0,1503.0
C61,C67,34,0.75,375.0,1365.75
C61,C77,5,61.0,184.0,203.0
C67,C10,1,479.0,479.0,479.0
C67,C11,2,64.0,121.0,178.0
C67,C13,3,630.5,1205.0,1749.5
C67,C16,2,561.75,952.5,1343.25
C67,C18,11,278.5,871.0,1334.5
C67,C20,5,1099.0,1257.0,1861.0
C67,C22,26,65.75,315.0,1341.0
C67,C34,19,496.5,1477.0,1947.5
C67,C50,3,2086.5,3458.0,3696.0
C67,C53,2,276.25,500.5,724.75
C67,C54,1,169.0,169.0,169.0
C67,C61,50,60.75,155.5,596.75
C67,C77,1,661.0,661.0,661.0
C69,C22,1,573.0,573.0,573.0
C69,C77,1,2023.0,2023.0,2023.0
C71,C61,1,1412.0,1412.0,1412.0
C77,C02,1,2266.0,2266.0,2266.0
C77,C09,1,506.0,506.0,506.0
C77,C11,1,300.0,300.0,300.0
C77,C12,1,1.0,1.0,1.0
C77,C15,1,31.0,31.0,31.0
C77,C16,1,1693.0,1693.0,1693.0
C77,C18,5,394.0,467.0,517.0
C77,C20,1,35.0,35.0,35.0
C77,C22,3,786.0,1373.0,1825.5
C77,C34,3,210.0,390.0,577.0
C77,C42,3,1202.5,1291.0,1834.5
C77,C50,2,1217.75,1444.5,1671.25
C77,C53,1,1461.0,1461.0,1461.0
C77,C61,2,411.5,549.0,686.5
