,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C32,C34,C42,C44,C49,C50,C53,C54,C55,C56,C61,C62,C67,C69,C71,C77
P1,0.036516117919340826,0.0,0.0016591166791446418,0.0,0.016280602014047643,0.04489342745579927,0.0,0.05523313570052792,0.015425659236084919,0.0,0.0,0.13885421938979123,0.0,0.0,0.0,0.0,0.9696668837139888,0.011397724509512009,15.378789334627836,0.26783536106216566,3.980328868141051,0.07222324173428972,0.0,0.03174693299677722,0.0,0.04354311073573066,0.016346739381431125,0.01348664132073123,0.0,0.0,0.004532194291385957,0.011532472167093669,0.09071948481578528,0.10510891311897987,0.0021509485489234655,0.0,0.0,0.0,0.30780672861703307
P2,0.0,0.38385343598398664,0.27063262779790975,0.0,0.16601922936866445,0.3156671827085972,0.0,0.012643172799986122,0.0,0.7460402902248037,0.3793979838197765,0.0067629642394783545,1.265195168406574,1.942588533815951,0.007070253179285603,5.8521065480025936,0.16975603752994675,0.0,0.0,0.0017107115409095027,0.004941062431431581,0.0,0.0,0.3675090270327124,0.0,0.024978028807249697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04195572037709375
P3,0.0,0.013354659055738264,0.04352777791889436,0.0,0.032313788259859436,0.0,0.0,0.011101969624429671,0.0,0.08773593427245517,0.0,0.03759595083417712,0.0,0.026033910556618994,0.0,0.0,0.0,0.0,0.0,0.0,0.15652604155300018,0.007559586256139712,0.0,0.008954019038477137,4.915111174423618,0.015261871862867685,0.0061628439310674014,0.0,0.0,0.02334987358412788,0.0,0.003909638617410744,0.0,0.015404608386420942,0.0,0.0,0.0050790541811253235,0.0,0.009241605301528434
P4,0.0027313036244429297,0.021519315253805682,0.0,0.0,0.0,0.0,0.01469270080493624,0.0,0.009560603771323662,0.032314381113071056,0.03777538662116515,0.09577567304505098,0.0,0.0,0.004538393272977925,0.007199472344040121,0.21212026376759335,0.0039052964137216645,0.0,0.05573481890836647,0.022889704052995043,0.012818310103117193,4.346255833092553,0.025130139185858272,0.0,0.05797544143528942,0.0,0.004323300743026429,0.0,0.08807054743919404,0.0,0.0,0.015249181703699164,0.0,0.0,0.1121629161174755,0.004700011857908668,0.010710930101484618,0.0449067282166244
P5,0.5263551799693463,0.07498461082109294,2.6978051643990346,1.3173691378182555,0.12050905407479673,0.6896833038472852,3.23283632742824,0.005128321844328351,0.01364548775524694,0.2345202826607693,0.1352853924342384,0.06825353872203765,0.06740922573223417,0.027210084173221877,0.004390220966711852,0.0,0.0033268537177945003,0.0,0.0,0.014466416162827626,0.004185020260858214,0.002295999405072217,0.0,0.006727181293169865,0.0,0.002057222457928343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P6,0.0,0.0,0.033378642549532794,0.0,0.0,0.0,0.0,0.028854415732137262,0.0,0.0,0.004332633659333432,0.0,0.0,0.0,0.005808680433762922,0.0,0.1578220121359438,0.0,0.0,0.026286364034613978,0.016855449675591425,0.006671239757424697,0.0,0.0,0.0,0.33864118208372623,0.0,0.0,4.405125448074587,1.0700704692909981,0.6511772370087469,0.011633719787237791,0.2450045133406355,0.0,0.0,0.15078959155237284,0.005009803227934339,0.0,0.04662379823701919
P7,0.0,0.0,0.0,0.0,0.0,6.606561450749712e-05,0.0015736040637616064,0.0,0.004757843687690116,0.0028541979085210424,0.0,0.018828305491510617,0.0,0.007847173525751153,0.0,0.0,0.12645303573151154,0.010716119004210538,0.0,0.06202712007866113,0.04611497394286428,0.0,0.0,0.005545705369718688,0.0,0.07346360175760254,0.0,0.005972113504442264,0.0,0.00112439462924296,0.0,0.0,0.0,3.941738505486497,0.00795993658471921,2.2853286854753363,0.0,0.0054689540089893985,0.07229932308142928
