covariate,HR,lo,hi,p
age,1.0052687508121536,1.0011793227688155,1.009374882578133,0.011514889636297203
male,1.009851409567098,0.8308130853079444,1.2274720842012998,0.9215707219936063
stage_II,1.1241618140769376,0.9579255259191062,1.3192463819316471,0.15172072782720172
stage_III,1.2264815479819466,1.0700081127283365,1.405836992865966,0.003371310946226387
stage_IV,1.6303548780795543,1.4184536455455665,1.873911803057515,5.948949687375404e-12
surg_Endoscopic_resection,0.47597298424814977,0.378028393326569,0.5992943538989106,2.6908905832158555e-10
surg_Partial_esophagectomy,0.7488474600940944,0.4324746820135071,1.296659762551978,0.30183254056626707
surg_Radical_esophagectomy,0.6058754175221465,0.5117911527734644,0.7172555046494116,5.899295440056708e-09
margin_R0,0.6321694443856574,0.5499345677394923,0.7267013747791574,1.1198238925670948e-10
ccrt,0.966647504546724,0.8600489805618782,1.0864583519835713,0.5693554616491167
chemo_multi,1.1026791723836604,0.9784435803347128,1.2426892890367478,0.1090125290034808
