covariate,HR,HR_lower95,HR_upper95,p
age,1.014,1.011,1.016,0.0
male,1.069,1.009,1.132,0.0231
stage_II,1.136,1.06,1.218,0.0003
stage_III,2.94,2.763,3.128,0.0
stage_IV,5.048,4.682,5.443,0.0
