covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age_first,0.009574654970679696,1.0096206386216087,3.462638462673917e-05,0.009506788503896456,0.009642521437462937,1.0095521215611056,1.0096891603322802,0.0,276.5132737330585,0.0,inf
is_male,0.025034572896446013,1.0253505692506943,0.011353927500064061,0.002781283913241561,0.047287861879650464,1.0027851552716283,1.0484237668814926,0.0,2.204926259772644,0.027459269463258107,5.186562945781128
C0_vs_C2,1.0387001883803153,2.825541954162085,0.03212742610875312,0.9757315902911874,1.1016687864694432,2.6531074888321537,3.0091835209603057,0.0,32.33063815520912,2.5964456136848425e-229,759.3449957228016
C1_vs_C2,1.576974313812204,4.840288439119336,0.03201523848052051,1.514225599433923,1.639723028190485,4.545899416332998,5.153741873323514,0.0,49.25699100357179,0.0,inf
C3_vs_C2,3.7939313761088465,44.4307312865427,0.027163764931515056,3.7406913751585646,3.8471713770591283,42.12710573335306,46.860325396008136,0.0,139.66883403953975,0.0,inf
C4_vs_C2,1.4288751880541466,4.1740015836123,0.033712820074742696,1.362799274890372,1.4949511012179213,3.9071150972950384,4.459118502052764,0.0,42.38373369199824,0.0,inf
