antecedent,consequent,n_co,n_ant,n_con,support,confidence_A→B,confidence_B→A,lift,odds_ratio
C13,C15,4,30,129,0.00011,0.1333,0.031,38.832,46.049
C03,C06,5,70,115,0.00013,0.0714,0.0435,23.335,26.147
C02,C03,6,310,70,0.00016,0.0194,0.0857,10.388,11.471
C02,C06,6,310,115,0.00016,0.0194,0.0522,6.323,6.727
C02,C15,3,310,129,8e-05,0.0097,0.0233,2.818,2.88
